client,cmt,level,like,nn,prov,reply,score,time
4,犹豫对比了很久，这部手机真的很不错，与之前用的小米，魅族相比之下，这部手机要优于其它安卓阵营的品牌。我周围朋友跟着入手了乐视的其他型号，都觉得很不错。用了几个月了，没有出现任何问题，对于一分钟几次拿出手机刷的我来说电量刚刚好用一天。棒棒的，东西验证了，是正品。京东服务和速度真的是超级赞，晚上下单都配货，早上上班就收到了，我现在买东西都直接上京东买了。,62,123,徐***s,,153,5,2017-01-25 13:52:53
4,手机昨天下午收到货，下单次日到，挺速度的，送到村口，挺不容易的。快递很满意！说下手机，标准的库存货，生产日期是2016年6月，将近一年了。电话卡是原三星手机用的，放不进入去，就拿着手机的卡托比划着用菜刀切的，也挺好的，可以用。放进卡去，开不了机，手机一点电都没有，充了三四分钟充电指示灯才稳定，前面一直闪烁的，电池估计都饿死了。充电期间我没开手机，充电比较慢，我看着时间充的，到充满用时1小时56分钟，现在手机都是快充，这个时间有点长了。关于续航，充满电开机从下午5点多下载了几个应用，不是一直使用，还要做饭，看孩子。然后吃完饭给孩子看了熊出没奇幻空间，到晚上9点40左右关闭网络，还剩电量30%左右，早上看又掉了一点电量(关闭网络状态下）。再说下指纹解锁，太恶心了，前面用了四五次还好，虽然反应慢一些，但能解锁。后面就不稳定了，老是震动，屏幕不亮，没解开。最多的一次，触摸了五次指纹，都没解开。最气人。其他方面目前该还没有发现问题。手机外观漂亮，屏幕细腻清晰，不玩游戏，性能不好评价。买这款手机主要是看性价比，硬件设施才买的。希望能用得住吧。。。阿门,56,61,Q***0,,167,4,2017-04-25 16:48:23
4,目前手机使用了一周了，内存使用率一直在50%＿60%之间徘徊。没有下载游戏，只装了几个常用的应用，**、微信、**、京东、***，腾讯新闻，4G内存日常使用够了。除了指纹解锁，其他还比较满意。对拍照要求不高，但2100万像素应该虚标，跟上个手机三星note3   1300万像素相差不大。这点不重要，重要的是指纹解锁失灵了，直接不能用了，从昨天开始，两个指头来回试了三十多次，只震动，解不开屏幕。真恶心，指纹我还不常用，用图案解锁次数多。哎，性价比可以，但兼容性和用户体验还有很大提升空间。指纹功能不能用了，也懒得售后了，将就用着吧。真实评价，勿pen,105,25,丬***丶,,26,5,2017-06-02 21:43:39
0,特意用了一段时间才来评价，乐视Max2手机是一款用心做的好产品，不虚标价格，系统运行流畅，滑动灵活。820的cpu速度快，4g的运存对我来说也够用了，2K屏的效果没的说，屏幕分辨率高，影片越清 显示越好特别清晰，色彩还原逼真。反应灵敏，屏幕比例合适，手握舒适，比6寸屏好，音质不次于2、3千手机水平，尤其拍照非常清晰，2100万像素，远高于1300、1600万像素，实拍文件，发现连纸的细微纹理都清晰显现，指纹识别非常好用，没有发现不灵敏的时候，有评价说有时不灵，我估计是录入指纹不准吧。充电很快，包装是原封，暂时先写这么多，感觉这款手机非常实用，我从不追风一线品牌，一线品牌投入的广告等费用太高，都在手机价格里。 乐Max2应该是现在最高性价比的一款手机了！,62,6,s***8,,25,5,2017-04-14 16:16:34
4,手机那都挺好，拍照和摄像都正常，就是微信发视频对焦一抖一抖的，上网查了下有不少这毛病的，是微信还是手机程序的事，希望厂家解决。,105,2,jd_3021688868,,10,4,2017-03-29 23:18:24
0,屏幕大 比较合我意  看图片很方便  系统流畅  给力 不卡  外观简洁 满意  配送的手机壳不好  手机本身总体满意的 支持国货,62,0,j***3,,17,5,2017-03-16 18:55:15
4,京东的领导，新新家园售楼部购房送的全自动洗衣机洗衣机什么时候能给，买房时说的好听，交定金时就送，一次次说没有货，一个劲的催房款，现在全款都付清了，都还没见全自动洗衣机的影子，一次次都说没货，京东的诚信呢？在哪？在哪？在哪？从2017过年到现在还没给解决,105,18,文***1,,50,5,2017-04-26 15:10:57
4,手机停产了，没有零件，信号没有华为好，同在室内电话打不通，重启关机，换卡，换手机还是一样，移动卡，电信联通没有试，但是安装软件，清理 垃 圾 就反应快很多，手电筒颜色发黄，拍照也没有那么好，拍一张照5-6M很占内存，连拍很快，还有手机黑边框有特别大，什么无边框就是吹出来的,61,0,jd168627132,,0,5,2017-06-07 16:55:24
4,我要说的是京东快递还挺快的，快递员也很热情！京东客服人员服务也很好！就是一点我不很满意，手机发过来电池老没有电。这样会不会亏电太久会损坏电池板呢？总的来说京东发货还是挺快的。手机不错，特别是像素2100万后值像机和前值800万，拍照非常清楚。象这样**元国产手机是很不错的了！,61,13,j***o,,28,5,2017-04-15 17:43:29
3,第一眼看到手机感觉还不错'性价比很高，以前没用过乐视希望好用。京东的包装很一般，里面连个防摔的泡沫都没。快递的速度倒是挺快的。只是快递小哥把东西放在店里的桌子上转头就走了，我连看到长什么样子都没有。最好希望手机不让我失望就好&hellip;&hellip;,61,1,jd_186137how,,2,5,2017-06-18 00:10:31
4,物流很快，晚上买第二天下午就到，收到时因为是下雨外包装有点湿，还好里面没问题，手机挺好的，花面清晰，就是电池不太耐用，其他暂时没有什么问题，等用一段时间再来追评,61,4,欧***曦,,13,5,2017-04-18 19:50:04
4,五星是给配送员的，乐视这款手机给3.6分！看着配置买的，之前买的1S觉得指纹都比Max强，其它各方面都可以，摄像照相一般，这个指纹识别用了不到四次就没有反应了，用plus会员买的2099，因为已经退过一次了，不想退了麻烦，反正也不影响，支持***！支持京东！快递小哥辛苦了，服务好！,62,4,F***e,,6,5,2017-05-24 23:00:59
4,手机充电快     发烫      电池电量掉的快    颜值不错   屏幕大  可惜只有一种颜色    不过不是我自己用的     帮朋友买的   要是没有卡顿现象,61,1,j***w,,5,5,2017-05-21 10:46:24
4,性价比挺高的，高通820，合资牌子最少也3000多，就内存只有32G少了点，运行流畅，屏幕色系偏暖色，如果不是要下大型游戏、电影等是够用的，但是是去年生产的，电池都放没电了，要充电10分钟才能开机，乐视手机看来还是卖的不太好呀！希望质量好吧，耐操点！,105,2,j***5,,5,5,2017-06-04 14:35:17
4,收到了用着很好，性价比高，非常高。已经买三个了。系统流畅。居然支持语音,61,0,j***w,,4,5,2017-06-07 21:36:50
4,商品包装送货速度配送员服务态度给五星这个是毋庸置疑的，然后送了一个手机壳.刚拿回来的时候电量是百分之一都没有当然这个可以理解，毕竟在仓库里待了那么久。就是我从5.6更新到5.9的速度相当的慢啊，这是相当的尴尬啊，占据了1.6G的更新包。不过其他都还好，应该是网络的问题，某某软件刷新得有点慢白色盒子的是之前用的x621，x621速度也还好。还有就是我代替乐迷们问一句什么时候可以出一些好看的全屏主题啊哈,61,2,Y***筒,,9,5,2017-04-21 16:20:33
4,这个价位已经非常不错了，820还有2k屏，至于大黑边就看个人能不能接受了。,61,0,j***u,,3,5,2017-04-30 22:14:30
4,还行吧？这个价格？配置什么的还可以吧！支持支持国产手机，三星，苹果一边去吧。,62,0,j***e,,2,5,2017-03-12 18:34:37
4,手机不错  充电很快 续航也没他们说的那么差  毕竟屏幕尺寸在这摆着  除了突出明显得摄像头以外  其他都不错  指纹也没他们说的那么差  还有快递的速度是真心的快！服务好！   好评！推荐入手！,56,0,j***p,,1,5,2017-06-11 08:06:38
4,先试用了小半月才来评价，手机外放声音超大，通话时听对方的声音也很大。大屏手机电池容量太小，轻度用户一天一冲，我基本是一天两充，新手机系统还算流畅，摄像头突出那么高有点不太适应，拍出的照片跟1600万像素的差不多，电池容量小，手机又厚，竟然没有耳机插孔，乐视的设计师是怎么想的。最后要吐槽一点就是乐视的WiFi接收太差劲，在同一个位置，一台小米4C一台乐视，用小米手机播放高清视频基本无卡顿，乐视播放同一个视频选择流畅模式还会卡顿，卡顿也就罢了，竟然还会掉线，连接不上，就这样乐视还是新手机，小米4c都用了一年半了，连接WiFi还不如小米，情何以堪。,62,4,j***1,,9,5,2017-04-08 14:04:24
4,"性价比较高,看视频爽,电池不耐用,连WiFi玩的时候发烫严重。充电速度较快,充电时，手机也会发烫。后摄像镜头突出,指纹解锁有时候要是两三次才可以。指纹解锁还不如cool1的灵敏。",62,0,坚***n,,2,5,2017-04-14 15:15:44
4,"手机用了好久才来评价，对于乐视手机失望了，我已经买了4部了，手机的发热过量问题始终没有搞定，从开始的乐1，乐1s,   乐2，到这部乐2max，过热问题都没有解决，",62,1,参谋哥,,2,5,2017-04-02 21:30:57
4,手机发热问题特别的大，是个大大的大问题，电池特别的不耐用，无语，乐视手机都从1出到3了，这么久了同一个问题竟然一直存在,105,0,我***你,,2,5,2017-06-02 13:40:28
4,记得我的乐视1S是我上车前不小心掉在车轮下面，然后被前后轮碾压最少超过1.5吨的车，除了屏幕破损，通话照相上网无所不能，下面就是乐视1S的照片，我们实事求是；现在买了乐视Max2&mdash;X820，因为质量过关所以我买了，不过乐视Max2这次有点让我失望，自带软件实在太多，难免有些失望，还有一点乐视Max2好像会有WiFi自动断掉的原因，可惜不能root，本人理科生完全可以自行调式这些问题，可不会玩手机的人难免会因为这俩个问题，对乐视有所质疑；最后告诉大家，我家及戚家用的都是乐视电视，如果质量及系统不过关企业不会做那么大，粉丝不会那么多。,61,0,漂***8,,10,5,2017-05-01 17:36:22
2,买了第二台，用惯了还是乐视好,61,0,j***i,,0,5,2017-03-27 19:04:39
4,物流很快，服务态度很好。,62,0,一***泪,,1,5,2017-04-13 12:53:41
2,之前拍了一个一来开不了机，直接退了。 因为新机一般都有一半左右的电量！  退了又拍了一部同款的。 来了还是开不了机，难道都要充电才能开机吗？ 我就试了一下充电， 真的手机没电了&hellip; 我真的不想退了，因为帮别人买的。  但是又怕有问题！ 最后全部测试的一下。还行。 就这样了&hellip; 好啦 我写那么多我都不知倒我之前写的什么&hellip;!但应该都是我自己的感受吧。 总之京东售后服务还是不错的。  然后&hellip; 不知道还能再说点什么了&hellip; 先这样吧！,62,2,未***t,,0,5,2017-05-06 16:56:18
4,配送员态度挺好，送货速度无疑，今早下单，现在就见到手机了，只是为何没电呢？为什么不充电呢？一拿到手机就想打开看看，结果一丁点电都没有，拿回家后充了几分钟才能开机。没充多久的电，感觉手机有点烫，不知道怎么回事，其他还不知道怎么样呢，用用看吧！,62,2,jd_187522yme,,1,5,2017-04-30 08:21:15
2,一直都挺喜欢乐视的，感觉特别不错！这次是老妈手机坏了，买来送给妈妈的礼物！老妈很喜欢，手机大小、外观都很不错，屏幕也适中，平时看个电影足够了！电池容量大，对于老妈来说，足够用了！以后自己再换手机也会优先选择乐视！,62,0,爱***儿,,0,5,2017-03-10 20:25:14
2,摄像头比我想象中要突出好多，套了手机套还突出不少，看来以后的磕碰是少不了了，无边框导致边框周围也是用类似玻璃的包边，让我觉得这个边一磕就碎了，只能自己小心了。指纹还好没有遇到网友的问题，820真的给力，王者农药高特效30帧不卡不掉就足够了，乐视UI能把live和左边的新闻去掉简洁点就好了,62,3,云***3,,4,5,2017-04-12 11:31:04
2,二手D名不虚传，外包装完好，最后关键时候发现没有出厂的高清膜（手机出厂两层膜，下面一层高清 ，上面可撕膜）恭喜自己中奖。真・续航尿崩，不过为了高性能大屏我也妥协了，凑服用。我能怎么办，我也很&hellip;&hellip;唯一好的就是屏幕没中奖，无坏点无漏光。,61,0,咸***i,,0,5,2017-06-02 08:35:07
4,"用了一段时间才来评价的，运行软件速度快，触摸屏反应快，灵敏，打字玩游戏用着很舒服。摄像头拍照反应速度快，对焦迅速，2100万像素效果还不错。升级了最新rom,指纹识别很快,解锁1到2秒。支持OTG，我在网上买了一根线，测试读u盘数据很快。2K的屏幕确实比1080P的细腻，用来玩VR,看电影很过瘾。电池开始用消耗很快，冲了满3次后，电池就稳定了，很耐用，应该是锂电池完全激活了，刚到手时是没电状态，充满电才玩的。",62,0,j***2,,0,5,2017-06-18 05:57:51
4,刚拿到手，很有手感。外观大气，屏幕的2k，够大看球赛很爽。京东快递小哥很给力，很客气。有国货和大电商的品质和服务力。?????,62,0,Ziiiiiiiiiing,,5,5,2017-04-19 19:17:27
4,这款手机真的很不错，性价比很高！质量也很好！屏幕很清楚！这是我的第二次购买！支持乐视！良国货！这个价位，这个配置，只有这款手机，款式还很漂亮！好评！你值得拥有！,61,0,漫***爷,,1,5,2017-05-12 12:21:26
0,看了很久，618活动价还是很给力的。果然是16年6月生产的，希望能用久点。屏幕分辨率高，色彩丰富，拍照效果好，指纹识别还没开始用。外形很一般，厚重。机器反应快，充满电开机更新系统，带了一大堆没用的软件，发热还可以，电池续航一般，不玩游戏能撑一天多。\n过几天再晒单追评。,105,1,a***t,,0,5,2017-06-18 14:45:54
4,我买乐视手机，因为乐视手机的性价比非常高，你可以看看有一些旗舰机的配置，竟然可以卖到2000+还有大批拥趸者，然而乐视这么高的性价比还有人骂，我不是托，只是乐视的用户，家里两台乐视电视，两部手机，我个人认为挺好的，希望乐视公司能挺过难关，越来越好！,62,0,二***啊,,2,5,2017-05-21 15:29:54
21,当然乐视手机的缺点也是有的，比如续航就不行，死机过一次，其余没发现缺点，至于大黑边属于仁者见仁智者见智。,105,0,阿***2,,1,5,2017-05-14 14:48:58
2,手机很不错，快递不是一般的快。哈哈 京东上买的就是放心。。。・llll,105,0,D***馍,,6,5,2017-04-14 13:47:31
4,算是一次挺好的购物体验 大体上不错 \n缺:系统有点问题： 1.耗电 打个游戏屏幕耗电比游戏多 2.没有耳机接口感觉很麻烦 3.开机之后最高4.5g运存 白吃1.5g 平常也就3.5～4g 开的应用多了3g 4.屏幕太大不好带\n优：1.外放音质很好 2.大屏看的爽 3.应该是正品不是返修的\n4.性能挺好5.功能强大 \nps:蹭的5楼wifi所以信号不好 以后有什么问题还会追评的,61,3,j***p,,1,4,2017-05-27 19:53:43
4,东西挺好的，速度快，款式也挺好看的，充电速度也快，一次比较满意的购物！,62,0,j***8,,1,5,2017-06-01 10:47:10
4,买第二部乐视手机了。感觉操作系统非常好用。速度非常快，装一个什么应用软件几秒钟就装好了。样式漂亮。时尚。屏幕大清晰。1小时就充满电，可能充太快了吧，充时稍微有点热。相机效果也挺好，有美颜，语音控制等功能，像素高。个人感觉可能是高通好像没有联发科芯片对相机扑捉色彩的美化处理好，色彩太真实势必在光线暗时有点暗。而乐1s暗时照出来也很亮丽。,105,0,j***2,,0,5,2017-06-11 10:36:39
4,为京东的速度点赞，品质点赞。乐视性价比也是超高啊?,105,0,茶***业,,5,5,2017-04-18 10:25:01
2,喜欢这款手机好久了，这回这么便宜就买了，为什么跟实体店差那么多呢？不知道是什么原因，查了一下，是原封正品的啊&hellip;&hellip;速度好快就到手了，京东自营就是快.,105,3,我***8,,15,5,2017-04-17 14:29:06
4,用了十天，屏幕完全坏死！送过去维修二十天了，没消息，退货退不了，维修没消息，希望大家买的时候都看看！,61,10,-***粮,,29,5,2017-03-19 20:22:45
4,京东快递小哥服务很好，快递小哥联系我，我没在家，第二天又给我送过来的，经过几天的考验，这部手机很好用，我不会玩大型游戏，我手机里装了不少软件，但运行还是很流畅，反应速度极快一点都不卡，这款手机我很喜欢！,62,0,w***0,,0,5,2017-06-16 04:53:42
4,刚到手，手机确实一点电也没有的，百分百新机！没有发热严重的问题！充好电后升级到了最新的s26系统，然后安装好其它软件打了差不多一小时的龙之谷，热量40度左右吧！正常。其它要后续使用才能体验了。,62,0,j***c,,0,5,2017-06-18 11:58:27
4,价位1300值得购买了，5.7寸2K屏，高通820cpu，性能还是不错的，悲催的是电池太小了，才3100毫安，用于2K屏很是失败。,105,1,j***图,,6,5,2017-04-23 00:18:20
4,乐视手机不错，这是我第二次购买。???,62,0,忘事文化,,3,5,2017-05-07 12:26:46
0,特意用了一段时间才来评价，乐视Max2手机是一款用心做的好产品，不虚标价格，系统运行流畅，滑动灵活。820的cpu速度快，4g的运存对我来说也够用了，2K屏的效果没的说，屏幕分辨率高，影片越清 显示越好特别清晰，色彩还原逼真。反应灵敏，屏幕比例合适，手握舒适，比6寸屏好，音质不次于2、3千手机水平，尤其拍照非常清晰，2100万像素，远高于1300、1600万像素，实拍文件，发现连纸的细微纹理都清晰显现，指纹识别非常好用，没有发现不灵敏的时候，有评价说有时不灵，我估计是录入指纹不准吧。充电很快，包装是原封，暂时先写这么多，感觉这款手机非常实用，我从不追风一线品牌，一线品牌投入的广告等费用太高，都在手机价格里。 乐Max2应该是现在最高性价比的一款手机了！,62,0,春***澍,,0,5,2017-06-05 10:29:20
4,昨天晚上下单，今天下午就收到了，很快，正在适应中！就是运行内存用的怎么这么快呀！4G的，感觉还没有怎么用呢，就只有1.3G了呢！还在慢慢适应中！希望不会出现大家说的那么多毛病呀！,105,2,j***j,,0,5,2017-06-02 17:32:30
